词语,拼音,频序号,页码
阿爸,ābà,18359,1
阿昌族,Āchāngzú,51585,1
阿斗,Ā Dǒu,43271,1
阿飞,āfēi,49327,1
阿富汗,Āfùhàn,3465,1
阿訇,āhōng,34925,1
阿拉伯数字,Ālābó shùzì,36453,1
阿拉伯语,Ālābóyǔ,30907,1
阿妈,āmā,16411,1
阿门,āmén,48618,1
阿Q,Ā Q,21112,1
阿司匹林,āsīpǐlín,40900,1
阿嚏,ātì,55409,1
阿姨,āyí,6888,1
啊,ā,16281,1
啊呀,āya,15601,1
啊哟,āyo,24222,1
啊,á,29092,1
啊,ǎ,18512,1
啊,à,5539,1
啊,a,1176,1
哎,āi,5522,1
哎呀,āiyā,8526,1
哎哟,āiyō,11925,1
哀兵必胜,āibīng-bìshèng,53858,1
哀愁,āichóu,26033,1
哀悼,āidào,8155,1
哀告,āigào,36943,1
哀歌,āigē,41115,1
哀号,āiháo,30019,1
哀嚎,āiháo,45879,1
哀叫,āijiào,35538,1
哀哭,āikū,42017,1
哀怜,āilián,35539,1
哀鸣,āimíng,28470,1
哀戚,āiqī,47355,1
哀泣,āiqì,44998,1
哀求,āiqiú,12102,1
哀伤,āishāng,20013,1
哀思,āisī,24290,1
哀叹,āitàn,26870,1
哀恸,āitòng,47066,1
哀痛,āitòng,28212,1
哀婉,āiwǎn,33178,1
哀怨,āiyuàn,23510,1
哀乐,āiyuè,20867,1
埃及,Āijí,3127,1
挨,āi,4450,1
挨边儿,āibiānr,54347,1
挨次,āicì,41560,1
挨个儿,āigèr,43008,1
挨家挨户,āijiā-āihù,18119,1
挨肩儿,āijiānr,47673,1
挨近,āijìn,26961,1
唉,āi,7531,1
唉声叹气,āishēng-tànqì,25210,1
挨,ái,4752,1
挨饿,ái’è,16557,1
挨批,áipī,35409,1
挨整,áizhěng,38023,1
挨揍,áizòu,37471,1
皑皑,ái’ái,28993,1
癌,ái,10889,1
癌变,áibiàn,35831,1
癌细胞,áixìbāo,19389,1
癌症,áizhèng,6777,1
癌肿,áizhǒng,44748,1
嗳,ǎi,9453,1
矮,ǎi,5289,1
矮墩墩,ǎidūndūn,53859,1
矮胖,ǎipàng,28213,1
矮小,ǎixiǎo,16486,1
矮子,ǎizi,22732,1
艾,ài,9307,1
艾蒿,àihāo,37119,1
艾窝窝,àiwōwo,56336,1
艾滋病,àizībìng,3431,1
唉,ài,4127,1
爱,ài,323,1
爱不释手,àibùshìshǒu,25271,1
爱财如命,àicái-rúmìng,54886,1
爱巢,àicháo,36142,1
爱称,àichēng,47356,1
爱搭不理,àidābùlǐ,53348,1
爱戴,àidài,11820,1
爱抚,àifǔ,19569,1
爱国,àiguó,2337,1
爱国主义,àiguó zhǔyì,4001,1
爱好,àihào,5517,1
爱河,àihé,37472,1
爱护,àihù,5892,1
爱将,àijiàng,35410,1
爱克斯光,àikèsīguāng,55852,1
爱怜,àilián,23606,1
爱恋,àiliàn,22546,1
爱侣,àilǚ,32690,1
爱美,àiměi,21488,1
爱面子,àimiànzi,31919,1
爱莫能助,àimònéngzhù,32035,1
爱慕,àimù,18778,1
爱女,àinǚ,30126,1
爱情,àiqíng,2002,1
爱人,àiren,5544,1
爱神,àishén,30786,1
爱屋及乌,àiwū-jíwū,47989,1
爱惜,àixī,15153,2
爱心,àixīn,4364,2
爱憎,àizēng,24878,2
爱憎分明,àizēng-fēnmíng,33551,2
隘口,àikǒu,40035,2
碍,ài,10670,2
碍口,àikǒu,55410,2
碍难,àinán,49718,2
碍事,àishì,25153,2
碍手碍脚,àishǒu-àijiǎo,46181,2
碍眼,àiyǎn,44497,2
暧昧,àimèi,17356,2
安,ān,1652,2
安步当车,ānbù-dàngchē,53860,2
安插,ānchā,27965,2
安抵,āndǐ,46481,2
安定,āndìng,4969,2
安度,āndù,28214,2
安顿,āndùn,15264,2
安放,ānfàng,15382,2
安分,ānfèn,19277,2
安分守己,ānfèn-shǒujǐ,30787,2
安抚,ānfǔ,16528,2
安好,ānhǎo,37120,2
安徽,Ānhuī,3004,2
安家,ānjiā,21745,2
安家费,ānjiāfèi,34316,2
安家立业,ānjiā-lìyè,34484,2
安家落户,ānjiā-luòhù,29233,2
安检,ānjiǎn,20868,2
安静,ānjìng,5131,2
安居,ānjū,16111,2
安居工程,ānjū gōngchéng,28730,2
安居乐业,ānjū-lèyè,10137,2
安康,ānkāng,12806,2
安乐,ānlè,19970,2
安乐死,ānlèsǐ,38594,2
安乐窝,ānlèwō,38024,2
安乐椅,ānlèyǐ,44999,2
安理会,Ānlǐhuì,4767,2
安谧,ānmì,37297,2
安眠,ānmián,33322,2
安眠药,ānmiányào,21456,2
安民告示,ānmín gàoshi,46482,2
安宁,ānníng,6771,2
安排,ānpái,613,2
安培,ānpéi,22953,2
安贫乐道,ānpín-lèdào,47674,2
安琪儿,ānqí'ér,38765,2
安寝,ānqǐn,45000,2
安全,ānquán,709,2
安全带,ānquándài,20047,2
安全岛,ānquándǎo,49719,2
安全阀,ānquánfá,48972,2
安全感,ānquángǎn,11976,2
安全帽,ānquánmào,30564,2
安全门,ānquánmén,43009,2
安全套,ānquántào,23940,2
安全系数,ānquánxìshù,29585,2
安然,ānrán,11765,2
安然无恙,ānrán-wúyàng,18005,2
安如磐石,ānrúpánshí,56621,2
安如泰山,ānrútàishān,55853,2
安设,ānshè,43488,2
安身,ānshēn,27393,2
安身立命,ānshēn-lìmìng,27632,2
安神,ānshén,35069,2
安生,ānshēng,22733,2
安适,ānshì,31812,2
安睡,ānshuì,29301,2
安泰,āntài,39612,2
安土重迁,āntǔ-zhòngqiān,54348,2
安危,ānwēi,10255,2
安慰,ānwèi,3886,2
安稳,ānwěn,14737,2
安息,ānxī,18992,2
安闲,ānxián,25812,2
安详,ānxiáng,12454,2
安享,ānxiǎng,34085,2
安歇,ānxiē,38595,2
安心,ānxīn,4192,2
安养,ānyǎng,54887,2
安逸,ānyì,18718,2
安营,ānyíng,37473,2
安营扎寨,ānyíng-zhāzhài,27887,2
安于,ānyú,25272,2
安葬,ānzàng,17427,2
安之若素,ānzhī-ruòsù,44029,2
安置,ānzhì,2646,2
安装,ānzhuāng,3206,2
桉树,ānshù,32797,2
氨,ān,11216,2
氨基酸,ānjīsuān,15625,2
氨气,ānqì,42259,2
氨水,ānshuǐ,35070,2
庵,ān,12232,2
庵堂,āntáng,46776,2
谙练,ānliàn,56337,2
谙熟,ānshú,37298,2
鹌鹑,ānchún,29700,2
鞍马,ānmǎ,26379,2
鞍马劳顿,ānmǎ-láodùn,49328,2
鞍前马后,ānqián-mǎhòu,45001,2
